RunId,Success,Duration,TotalTrucks,TotalParcels,MinInterarrival,MaxBeltLoad,MaxStationLoad,AvgProcessingTime,StationLoadStdDev
388,1,28800,75,7595,1,268,50,4.99,135.81
389,1,28800,49,4820,8,256,50,5.01,99.80
390,1,28800,59,5957,2,286,50,4.97,101.41
391,0,25686,67,7191,1,300,50,5.00,102.87
392,1,28800,62,6097,5,281,50,5.00,162.88
393,0,13277,45,4342,7,300,50,5.01,88.81
394,1,28800,53,5137,34,214,50,5.01,120.11
395,1,28800,66,6619,6,229,50,5.01,127.99
396,1,28800,65,6394,9,259,50,5.01,138.83
397,0,13501,41,4202,2,300,50,5.00,116.29
398,1,28800,60,5989,1,237,50,4.96,150.78
399,1,28800,63,6230,1,195,50,5.02,104.48
400,1,28800,64,6260,2,172,50,5.01,125.04
401,1,28800,61,6084,1,293,50,5.01,175.77
402,1,28800,52,5392,3,192,50,5.00,119.53
403,1,28800,56,5700,1,252,50,4.99,90.96
404,0,25415,66,6475,5,300,50,4.99,105.15
405,1,28800,53,5713,10,248,50,5.00,116.05
406,0,13818,40,3999,4,300,50,5.04,76.37
407,1,28800,83,7976,8,248,50,4.98,138.70
408,1,28800,63,6152,5,215,50,4.98,140.50
409,0,20140,44,4298,3,300,50,4.99,149.49
410,1,28800,72,7305,9,250,50,5.00,86.22
411,0,2658,10,989,22,300,50,5.06,41.19
412,1,28800,72,7139,7,284,50,5.02,119.45
413,0,9690,29,2657,17,300,50,4.99,84.55
414,1,28800,70,7299,1,230,50,5.02,147.61
415,1,28800,62,6275,2,289,50,4.99,98.30
416,1,28800,75,7375,10,284,50,5.02,177.89
417,1,28800,71,7153,8,239,50,5.01,111.56
418,0,26920,70,7302,12,300,50,4.96,99.90
419,1,28800,68,7091,1,242,50,5.02,121.10
420,1,28800,68,6724,3,250,50,4.99,96.95
421,1,28800,52,4949,1,269,50,4.97,127.26
422,0,24523,58,5397,1,300,50,5.00,120.79
423,1,28800,64,6193,17,216,50,5.01,122.98
424,1,28800,60,6053,33,220,50,5.01,123.43
425,1,28800,70,6459,6,215,50,5.03,123.52
426,1,28800,59,5736,7,211,50,4.96,102.45
427,1,28800,68,6637,20,206,50,5.01,126.48
428,0,2329,8,743,25,300,50,4.96,29.44
429,0,1739,5,628,39,300,50,4.97,27.49
430,1,28800,70,7264,2,252,50,5.02,154.17
431,1,28800,59,6022,18,267,50,4.99,157.85
432,0,16479,42,4245,11,300,50,5.01,87.17
433,1,28800,66,6475,6,192,50,4.99,119.59
434,1,28800,65,6674,4,233,50,5.00,130.65
435,1,28800,55,5194,12,242,50,4.99,141.21
436,1,28800,47,4760,29,187,50,5.02,84.48
437,1,28800,75,7585,7,271,50,4.99,104.71
438,1,28800,64,6161,22,227,50,5.03,77.28
439,0,16874,43,4403,3,300,50,4.94,111.60
